iter	Passed	Remaining
893	33805	4008
894	33849	3971
895	33889	3933
896	33928	3895
897	33969	3858
898	34016	3821
899	34057	3784
900	34096	3746
901	34136	3708
902	34176	3671
903	34214	3633
904	34255	3595
905	34293	3558
906	34334	3520
907	34372	3482
908	34408	3444
909	34441	3406
910	34471	3367
911	34506	3329
912	34547	3292
913	34587	3254
914	34623	3216
915	34655	3178
916	34690	3139
917	34727	3102
918	34762	3063
919	34800	3026
920	34840	2988
921	34879	2950
922	34917	2912
923	34957	2875
924	34995	2837
925	35036	2799
926	35070	2761
927	35105	2723
928	35141	2685
929	35174	2647
930	35210	2609
931	35252	2572
932	35283	2533
933	35318	2495
934	35352	2457
935	35389	2419
936	35426	2381
937	35466	2344
938	35497	2306
939	35532	2268
940	35567	2230
941	35602	2192
942	35642	2154
943	35685	2116
944	35724	2079
945	35759	2041
946	35792	2003
947	35833	1965
948	35876	1928
949	35918	1890
950	35953	1852
951	35999	1815
952	36033	1777
953	36063	1738
954	36098	1700
955	36136	1663
956	36176	1625
957	36209	1587
958	36244	1549
959	36276	1511
960	36310	1473
961	36350	1435
962	36384	1397
963	36423	1360
964	36462	1322
965	36496	1284
966	36532	1246
967	36569	1208
968	36600	1170
969	36634	1133
970	36668	1095
971	36706	1057
972	36738	1019
973	36779	981
974	36815	943
975	36854	906
976	36890	868
977	36930	830
978	36968	793
979	37014	755
980	37061	717
981	37103	680
982	37145	642
983	37183	604
984	37220	566
985	37259	529
986	37292	491
987	37331	453
988	37375	415
989	37413	377
990	37454	340
991	37493	302
992	37530	264
993	37571	226
994	37607	188
995	37643	151
996	37684	113
997	37716	75
998	37750	37
999	37792	0
